Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988212,Water Temperature,Measured,1990-02-14T17:00Z,28.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-01-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-01-15T05:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-02-14T17:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-02-15T05:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-03-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-03-15T05:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-04-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-04-15T05:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-05-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-05-15T05:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-06-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-06-15T05:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-07-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-07-15T05:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-08-14T17:00Z,26.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-08-15T05:00Z,26.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-09-14T17:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-09-15T05:00Z,26.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-10-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-10-15T05:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-11-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-11-15T05:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-12-14T17:00Z,26.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2003-12-15T05:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-01-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-01-15T05:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-02-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-02-15T05:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-03-14T17:00Z,28.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-03-15T05:00Z,29.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-04-14T17:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-04-15T05:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-05-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-05-15T05:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-06-14T17:00Z,29.56,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Water Temperature,Measured,2004-06-15T05:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
